lat,lon,ele,name,text_date,text_time,t
27.901867,98.660485,1493.91,,2019-11-10,10:38:30,38310
27.901393,98.660893,1495.86,,2019-11-10,10:38:33,38313
27.9009,98.661105,1493.19,,2019-11-10,10:38:36,38316
27.900356,98.661078,1491.33,,2019-11-10,10:38:39,38319
27.899809,98.661127,1489.63,,2019-11-10,10:38:42,38322
27.899331,98.661366,1488.06,,2019-11-10,10:38:45,38325
27.898898,98.661603,1487.4,,2019-11-10,10:38:48,38328
27.898493,98.661764,1484.4,,2019-11-10,10:38:51,38331
27.898262,98.662166,1483.46,,2019-11-10,10:38:54,38334
27.898136,98.662677,1483.83,,2019-11-10,10:38:57,38337
27.89801,98.663248,1484.95,,2019-11-10,10:39:00,38340
27.89779,98.663827,1486.53,,2019-11-10,10:39:03,38343
27.897458,98.664368,1488.28,,2019-11-10,10:39:06,38346
27.897025,98.664865,1486.91,,2019-11-10,10:39:09,38349
27.896512,98.665352,1485.51,,2019-11-10,10:39:12,38352
27.89593,98.665814,1484.45,,2019-11-10,10:39:15,38355
27.895328,98.666299,1483.43,,2019-11-10,10:39:18,38358
27.894848,98.666793,1483.39,,2019-11-10,10:39:21,38361
27.894509,98.667417,1480.82,,2019-11-10,10:39:24,38364
27.894276,98.668102,1477.78,,2019-11-10,10:39:27,38367
27.894247,98.668859,1473.59,,2019-11-10,10:39:30,38370
27.8942,98.669682,1474.24,,2019-11-10,10:39:33,38373
27.89406,98.670454,1475.06,,2019-11-10,10:39:36,38376
27.893904,98.671092,1477.0,,2019-11-10,10:39:39,38379
27.893716,98.671567,1476.56,,2019-11-10,10:39:42,38382
27.893575,98.671893,1477.31,,2019-11-10,10:39:45,38385
27.893439,98.672163,1478.49,,2019-11-10,10:39:48,38388
27.89329,98.672457,1480.97,,2019-11-10,10:39:51,38391
27.893103,98.672755,1482.36,,2019-11-10,10:39:54,38394
27.89289,98.673039,1484.7,,2019-11-10,10:39:57,38397
27.892691,98.673318,1485.95,,2019-11-10,10:40:00,38400
27.89251,98.673575,1488.1,,2019-11-10,10:40:03,38403
27.892371,98.673723,1485.68,,2019-11-10,10:40:06,38406
27.892271,98.673889,1483.48,,2019-11-10,10:40:09,38409
27.892127,98.674109,1484.32,,2019-11-10,10:40:12,38412
27.89198,98.674315,1485.58,,2019-11-10,10:40:15,38415
27.891815,98.674552,1486.9,,2019-11-10,10:40:18,38418
27.89158,98.674804,1487.56,,2019-11-10,10:40:21,38421
27.891255,98.674924,1488.15,,2019-11-10,10:40:24,38424
27.890926,98.674826,1488.55,,2019-11-10,10:40:27,38427
27.890694,98.67459,1491.79,,2019-11-10,10:40:30,38430
27.890364,98.67435,1491.89,,2019-11-10,10:40:33,38433
27.889949,98.674085,1491.27,,2019-11-10,10:40:36,38436
27.889429,98.673821,1489.07,,2019-11-10,10:40:39,38439
27.88885,98.673527,1487.08,,2019-11-10,10:40:42,38442
